pessoa_id,nome,ano_nasc,ano_morte,numero_eventos
1244,José Miguel Wisnik,1948.0,,2
1269,Jean Boghici,1928.0,2015.0,2
1397,Carlos Eugênio Marcondes de Moura,1933.0,,2
1401,Jean-Claude Bernardet,1936.0,,3
1431,Maria Elizabete Santos Peixoto,,,1
1437,Eduardo Brandão,1957.0,,18
1461,Burle Marx,1909.0,1994.0,1
1472,Leonor Amarante,,,10
1479,Hugo Segawa,,,1
1492,Sabina de Libman,,,6
1523,Maria do Carmo Secco,1933.0,2013.0,2
2730,Nadja Peregrino,,,19
2995,Arlindo Machado,1949.0,2020.0,6
3002,Milton Guran,1948.0,,2
3083,Carlos Augusto Calil,1951.0,,3
6098,Marco Buti,1953.0,,1
6272,Luís Donisete Benzi Grupioni,,,1
6283,Sheila Cabo,,,4
6356,Rubens Fernandes Júnior,1949.0,,25
6398,Almerinda da Silva Lopes,1947.0,,1
6542,Lilia Moritz Schwartz,,,2
8787,Liliane Dardot,1946.0,,1
9094,Dom João de Orleans e Bragança,1955.0,,2
9777,Heloisa Crocco,,,1
9783,Ralph Gehre,1952.0,,25
9809,Paulo Pasta,1959.0,,1
10,Aracy Amaral,1930.0,,13
11,Ana Maria de Moraes Belluzzo,,,6
20,Geraldo Edson de Andrade,,,5
28,João da Cruz Vicente de Azevedo,,,1
52,Carlos Lemos,1925.0,,1
54,Wendy Watriss,1943.0,,1
128,Marta Rossetti Batista,1940.0,2007.0,1
134,Jacob Klintowitz,1941.0,,11
184,Luis R. Cancel,,,2
190,Lauro Cavalcanti,1954.0,,28
192,Ladi Biezus,,,1
213,Dawn Ades,1943.0,,1
253,Aline Figueiredo,1946.0,,2
275,Adriana Rede,,,1
295,Fernando Cocchiarale,1951.0,,98
296,Anna Bella Geiger,1933.0,,4
318,José Roberto Teixeira Leite,1930.0,,8
400,Frederico Morais,1936.0,,24
408,Paulo Ramos Machado,,,1
461,Luiz Marques,1952.0,,1
463,Roberto Pontual,1939.0,1994.0,1
522,Joaquim Paiva,1946.0,,1
